codigo_bapin_id,codigo_bapin_desc,ultima_actualizacion_fecha
42135,Construcción de Obra Básica. RNN° 86.Tramo: Posta Cambio Zalazar - Guadalcazar. Sección: Posta Cambio Zalazar - El Remanso. Provincia de Formosa,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
42583,AMPLIACIÓN Y REFACCIÓN DE MUELLE PARA CRUCEROS TURISTICOS EN BAHIA CAMARONES -  CHUBUT,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
44453,Construcción Hangar Estacion Aerea Mar del Plata Pcia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
44570,SATÉLITE ARGENTINO BRASILEÑO DE INFORMACIÓN AMBIENTAL CON OBJETIVO PRINCIPAL EN EL MAR (SABIA – MAR),Última actualización del ejercicio 2025: 26 Marzo 2025.
44575,"DISEÑO, CONSTRUCCIÓN, LANZAMIENTO Y OPERACIÓN DE DOS SATÉLITES DE ÓRBITA POLAR - MISIÓN SAOCOM 2 A/B",Última actualización del ejercicio 2025: 26 Marzo 2025.
44587,Ampliación laboratorios de investigación y desarrollo - Provincia de Buenos Aires y Río Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
44774,Mejoramiento y ampliación de las instalaciones de desarrollo y fabricación de elementos combustibles en el Centro Atómico Constituyentes - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
45212,Obras menores de conservación mejorativa. Nacional,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
45571,Construcción. Construcción de Nueva Obra - RN 40 (Mendoza) // RN 0040 // Tramo: Tunuyan - Lujan De Cuyo // Sección: S-03: Int. RP96 - Anchoris // Prov.: Mendoza,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
46801,Exploración de uranio en Cuenca Neuquina-Atlántica y Cuencas Cuyanas,Última actualización del ejercicio 2025: 26 Marzo 2025.
46807,Construcción de nuevo edificio de materiales en el Centro Atómico Bariloche - Provincia de Río Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
46810,Investigación y desarrollo de tecnologías para nucleoelectricidad de cuarta generación - Provincia de Buenos Aires y Río Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
46816,Generación y construcción de las capacidades necesarias en función de requerimientos de las Centrales Nucleares de Potencia y las Instalaciones nucleares en el Centro Átomico Costituyentes - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
46817,"Reequipamiento de los Centros de Medicina Nuclear en el Hospital de Clínicas y el Instituto Angel Roffo, Ciudad Autónoma de Buenos Aires, (Prog.21, Proy.21, Obra51)",Última actualización del ejercicio 2025: 26 Marzo 2025.
46824,Desarrollo de prototipos de máquinas centrífugas para separación isotópica de uranio - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
46825,Acondicionamiento de instalaciones y construcción de equipamiento para la recuperación de material nuclear de blancos de irradiación - Centro Atómico Ezeiza - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
46831,Mejoras en infraestructura y equipamiento para el desarrollo y producción de polvos y aleaciones combustibles de compuestos de uranio de alta y muy alta densidad - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
47454,"Diseño, construcción y puesta en marcha de un reactor nuclear argentino multipropósito (RA-10) - Buenos Aires y Provincia de Río Negro",Última actualización del ejercicio 2025: 26 Marzo 2025.
47907,Construcción de Autopista RN 11 Resistencia - Formosa // RN 0011 // Tramo: T-05: Circunvalación a Formosa // Sección: S-01: Cruz del Norte - Virgen del Carmen // Prov.: Formosa,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
48004,"Repavimentación de calzada existente, señalización y obras complementarias en RNN 8 - Obra ORI C8.1.6 - RN Nº 8 - Tramo:237,5 - 346 / 381,1 - 381,4 / 387,8 - 389,6",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
48037,INGEBI - CONSTRUCCIÓN DE LABORATORIOS EN EL INSTITUTO DE INVESTIGACIONES EN INGENIERÍA GENÉTICA Y BIOLOGÍA MOLECULAR. CUIDAD AUTÓNOMA DE BUENOS AIRES,Última actualización del ejercicio 2025: 26 Marzo 2025.
48554,Construcción. Repavimentación RN 251 - Rio Negro // RN 0251 // Tramo: Emp. R.N.22 - Emp. R.N.3 (Acceso S.A.O.) // Sección: Km 120 - Km 190 // Prov.: Río Negro,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
48571,"Ampliación de colectores y redes cloacales y conexionado extra-domiciliario de la ciudad de Santiago del Estero, Provincia de Santiago del Estero.",Última actualización del ejercicio 2025: 26 Marzo 2025.
50385,"Adquisición de equipos, activos intangibles y desarrollo de actividades mineras necesarias para obtener nuevos recursos uraniferos en la provincia de la Rioja",Última actualización del ejercicio 2025: 26 Marzo 2025.
51586,"Construcción de la RNN° 18. Tramo II: Colectoras Pavimentadas (KM 67,75) - Intersección R.P.N.° 20 (KM 135,60) . Provincia de Entre Ríos.",Última actualización del ejercicio 2025: 26 Marzo 2025.
51587,"Construcción. RNN° 18. Tramo III:  Intersección Ruta Provincial Nº 20 ( km 135,60) - Arroyo Sandoval (km 166). Provincia Entre Ríos.",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
51951,Obra de Reacondicionamiento de Infraestructura Corredor 8 // RN 0008 // Tramo: C8.1.9 // Sección: S1: Km 171 - Km 237 // Prov.: Buenos Aires,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
53821,"DISEÑO, FABRICACIÓN, INTEGRACIÓN Y ENSAYO DE 4 SATÉLITES (SARE II A).",Última actualización del ejercicio 2025: 26 Marzo 2025.
54435,Creación de un centro de radioterapia y medicina nuclear - San Carlos de Bariloche - Provincia de Rio Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
54496,Reestructuración y ampliación de la planta de recubrimientos especiales de interés nuclear - Provincia de Río Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
54497,Equipamiento de laboratorios de química de reactores y ciclo del combustible - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
54623,Fortalecimiento del desarrollo de la micro y nanotecnología nuclear - Provincia de Buenos Aires y Río Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
55167,REPARACIÓN Y ADECUACIÓN EN PUERTO DIAMANTE - PCIA. DE ENTRE RÍOS,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
55294,Reconversión Muelle del Puerto de Concepción del Uruguay - Pcia. de Entre Ríos,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
55430,Construcción edificio Imprenta del Congreso - Capital Federal,Última actualización del ejercicio 2025: 26 Marzo 2025.
55459,"RN. 0022, ROTONDA ACC. BARRIO LAS BARDAS DE CHOELE CHOEL Y TRAVESIA URBANA A CHOELE CHOEL",Última actualización del ejercicio 2025: 26 Marzo 2025.
56917,Ampliación de la capacidad experimental del Centro Atómico Bariloche - Provincia de Río Negro,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
56918,Mejoramiento de la infraestructura de servicios del Centro Atómico Bariloche - Provincia de Río Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
57002,Reparación y modernización del edificio de ingeniería de plantas químicas - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
57003,Mejora de la capacidad de servicios internos del Centro Atómico Constituyentes - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
57007,"Construcción de una Planta de Producción de Radioisótopos por Fisión en el Centro Atómico Ezeiza, Pcia. de Buenos Aires  (21-24-51)",Última actualización del ejercicio 2025: 26 Marzo 2025.
57019,"Construcción de una Planta de Fabricación de Elementos Combustibles para Reactores de Investigación en el Centro Atómico Ezeiza, Pcia. de Buenos Aires (24,21,51)",Última actualización del ejercicio 2025: 26 Marzo 2025.
57663,CEFOBI IFISE - CONSTRUCCIÓN DEL EDIFICIO PARA EL CENTRO DE ESTUDIOS FOTOSINTÉTICOS Y BIOQUÍMICOS Y EL INSTITUTO DE FISIOLOGÍA EXPERIMENTAL. CIUDAD DE ROSARIO. PCIA. DE SANTA FE,Última actualización del ejercicio 2025: 26 Marzo 2025.
57671,Construcción y equipamiento de instalaciones para la carrera de ingeniería en telecomunicaciones en el Instituto Balseiro del Centro Atómico Bariloche - Provincia de Río Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
58603,Construcción de Desagües cloacales de Aristóbulo del Valle. Provincia de Misiones. Préstamo 2776/OC-AR,Última actualización del ejercicio 2025: 26 Marzo 2025.
58852,Refaccion de Patios Interiores del Palacio - Patios 3 y 4,Última actualización del ejercicio 2025: 26 Marzo 2025.
60744,"RECONSTRUCCIÓN MUELLE DE BARCAZAS, MUELLE DE CARGAS GENERALES Y OBRAS COMPLEMENTARIAS EN PUERTO IBICUY- PCIA DE ENTRE RÍOS (TABLESTACADO)",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
60902,"Construcción de Redes Colectores - Alderetes - Banda del Río Salí - Provincia de Tucumán (PAYS II - BID 3451)- Proyecto Integral de desagües clocales de las localidades de Alderetes, Banda del Río Salí y San Andrés,  en el Gran Tucumán",Última actualización del ejercicio 2025: 26 Marzo 2025.
60960,Ampliación de la infraestructura informática de la red local y datos de la CNEA - Nacional,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
62063,"Renovación del Sistema de Señalamiento y Telecomunicaciones, Ramal Constitución - La Plata de la Línea Gral. Roca",Última actualización del ejercicio 2025: 26 Marzo 2025.
62066,Readecuación de Estaciones - Ramal Constitución - La Plata de la Línea Gral. Roca,Última actualización del ejercicio 2025: 26 Marzo 2025.
62067,PROYECTO DE RENOVACIÓN DE VÍAS DE LOS RAMALES: CONSTITUCIÓN - LA PLATA Y CONSTITUCIÓN - BOSQUES 'VÍA CIRCUITO' DEL FERROCARRIL ROCA,Última actualización del ejercicio 2025: 26 Marzo 2025.
63980,"CONSTRUCCIÓN, INTEGRACIÓN, ENSAYO, PROVISIÓN Y LANZAMIENTO DE 4 VEHÍCULOS LANZADORES (TRONADOR II A).",Última actualización del ejercicio 2025: 26 Marzo 2025.
64350,Construcción de un Relleno Sanitario y una Planta de Recuperación de Materiales en la Ciudad de Concordia (provincia de Entre Ríos).,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
64351,Construcción de un Relleno Sanitario Área Metropolitana de Formosa (provincia de Formosa).,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
64492,Construcción Pabellón Sanidad Región I Campo de Mayo-Pcia Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
65119,"Reparación, conservación y puesta en valor de los edificios de la Provincia de Buenos Aires, correspondientes a la Jefatura Regional Bonaerense III - ETAPA 2",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
65468,(BM 382) Modernización del Sistema de Ingenieros.,Última actualización del ejercicio 2025: 26 Marzo 2025.
65955,"Construcción de lanchas de instrucción para cadetes pde la Escuela Naval Militar (ESNM). Isla Santiago, Provincia de Buenos Aires",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
67082,"Ejecución del Parque Industrial Curtidor (PIC) y diseño, construcción y puesta en marcha de una Planta de Tratamiento para Líquidos Industriales (PTELI)- Lanús  - PBA",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
67191,CONSTRUCCION DE LABORATORIO DE GEOQUIMICA ISOTOPICA Y GEOCRONOLOGIA - SAN MARTIN - PCIA. DE BUENOS AIRES,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
67351,RENOVACION EQUIPAMIENTO ANALITICO DE LOS LABORATORIOS DE SEDE CENTRAL - MENDOZA,Última actualización del ejercicio 2025: 26 Marzo 2025.
67369,"Modernización y equipamiento de laboratorios del área de materiales avanzados, recubrimientos y tribología - Provincia de Buenos Aires",Última actualización del ejercicio 2025: 26 Marzo 2025.
67371,Construcción de instalaciones e infraestructura del área de gestión Ezeiza - Fase II - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
67373,Construcción de infraestructura Centro Atómico Ezeiza - Provincia de Buenos Aires -FASE II,Última actualización del ejercicio 2025: 26 Marzo 2025.
67374,"Desarrollo y fabricación de instrumentos de caracterización de materiales utilizando haces de neutrones del RA-10 - Ezeiza, Provincia de Buenos Aires",Última actualización del ejercicio 2025: 26 Marzo 2025.
67518,Adecuación Instalación Eléctrica  Edificio Botánica 2016,Última actualización del ejercicio 2025: 26 Marzo 2025.
67733,MANTENIMIENTO Y REMODELACIÓN EDILICIA DEL INSTITUTO NACIONAL DE VITIVINICULTURA,Última actualización del ejercicio 2025: 26 Marzo 2025.
67942,Ampliación del sistema de desagües cloacales de la Ciudad de Santo Tomé - CORRIENTES,Última actualización del ejercicio 2025: 26 Marzo 2025.
69190,(BM 447) Incorporación de un Sistema Automatizado de Tiro para la Artillería de Campaña (SATAC).,Última actualización del ejercicio 2025: 26 Marzo 2025.
69256,Construcción de Planta de  Agua Potable y Red de Distribución en la ciudad de Clorinda. Provincia de Formosa.,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
69281,"Construcción de Planta Potabilizadora en el Dique Campo Alegre, Acueducto Norte para las zonas este, sudeste y parte de la zona centro de Salta Capital, Provincia de Salta",Última actualización del ejercicio 2025: 26 Marzo 2025.
70481,"Refacción Centro de Visitantes - PN El Palmar, Prov. de Entre Ríos.",Última actualización del ejercicio 2025: 26 Marzo 2025.
71061,"Construcción de Sede Administrativa en en el Parque Nacional Monte León, Provincia de Santa Cruz.",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
71129,Construcción de Sistema Agua Potable - Concordia - Entre Ríos (PAYS II),Última actualización del ejercicio 2025: 26 Marzo 2025.
71130,Mejoramiento de infraestructura Sede Central de CNEA - fase II - Ciudad de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
71137,"Reacondicionamiento y actualización de la instalación bajo salvaguardias RA6X, circuito experimental de baja presión (CEBP) - Provincia de Buenos Aires.",Última actualización del ejercicio 2025: 26 Marzo 2025.
71138,"Adecuación ambiental edilicia y construcción de laboratorios - Regional Cuyo, Provincia de Mendoza",Última actualización del ejercicio 2025: 26 Marzo 2025.
71139,"Modernización de la planta de producción criogénica - Fase II- Centro Atómico Bariloche, Provincia de Río Negro",Última actualización del ejercicio 2025: 26 Marzo 2025.
71180,Construccion de veredas peatonales etapa II,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
71827,Puesta en Valor del Centro Nacional de la Música - Ex Biblioteca Nacional y Construcción de Edificios Anexos,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
71981,"Adquisición de botellones para buceo autónomo de 12 lts para el Servicio de salvamento, incendio y protección ambiental - CABA 2023",Última actualización del ejercicio 2025: 26 Marzo 2025.
72421,Adquisición de drones para realizar investigaciones del delito organizado y complejo,Última actualización del ejercicio 2025: 26 Marzo 2025.
72843,Provisión de mobiliario para oficinas del Ministerio de Economía.,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
73103,CONSTRUCCIÓN OBSERVATORIO NACIONAL ANDINO DE MONITOREO Y RIESGO VOLCÁNICO,Última actualización del ejercicio 2025: 26 Marzo 2025.
73250,Ampliación de la Planta de tratamiento de desagües cloacales - Saladillo - Buenos Aires (PROAS II),Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
73263,Construcción de Colector Costanero- San Carlos de Bariloche - Provincia de Río Negro (PAYS II BID 3451),Última actualización del ejercicio 2025: 26 Marzo 2025.
73300,"Construcción de Jardín Barrio Santa Rosa - Florencio Varela, Provincia de BUENOS AIRES - PRINI (BID 4229 /OC-AR) (D22)",Última actualización del ejercicio 2025: 26 Marzo 2025.
73442,Reposición. Pavimentación Ruta Nacional N° 150 Iglesia - Agua Negra // Tramo: T-04: Las Flores - Paso Agua Negra // Sección: S-01: Las Flores - Peñasquito // Prov.: San Juan,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
73646,"Remodelación y ampliación del servicio de fisiopatogenia y enterobacterias, Barracas-CABA.",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
73734,Remodelación del Paso de Frontera Clorinda - Pto. Jose A. Falcon - FONPLATA ARG28/16,Última actualización del ejercicio 2025: 26 Marzo 2025.
73739,Remodelación Paso de Frontera La Quiaca- Villazón - FONPLATA ARG28/16,Última actualización del ejercicio 2025: 26 Marzo 2025.
73742,Remodelación del Complejo Fronterizo Puerto Iguazú - Puerto Tres Fronteras (ARG - 28/2016),Última actualización del ejercicio 2025: 26 Marzo 2025.
73744,Remodelación  del Complejo Fronterizo Puerto Pilcomayo - Puerto Itá Enramada (ARG - 28/2016),Última actualización del ejercicio 2025: 26 Marzo 2025.
100310,Incorporación de equipos varios para almacenamiento y abastecimiento en depósitos de las Unidades Logísticas,Última actualización del ejercicio 2025: 26 Marzo 2025.
100877,Incorporación de Equipamientos Militares y de Seguridad para la implementación de la Defensa terrestre de las unidades de la Fuerza Aérea Argentina',Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
101411,"Refacción y puesta en servicio de los núcleos sanitarios para personas con discapacidad, ubicados en el ala Balcarce del edificio sito en Hipólito Yrigoyen 250 – C.A.B.A.",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
101489,"Renovación de instalación eléctrica  e instalación de sistema de detección y alarma contra incendios en el edificio. Juzgado Federal Nº 1 BAHÍA BLANCA - Alsina Nº 317, Bahía Blanca. Buenos Aires.",Última actualización del ejercicio 2025: 26 Marzo 2025.
101563,"Construcción Jardín en VILLA ITALIA NORTE-TANDIL, Provincia de BUENOS AIRES - PRINI BID 4229 /OC-AR (D22)",Última actualización del ejercicio 2025: 26 Marzo 2025.
101627,Remodelación y prolongación de Colectores Cloacales y Construccción de Planta Depuradora Cloacal de la capital de Corrientes - Provincia de Corrientes,Última actualización del ejercicio 2025: 26 Marzo 2025.
101630,Construcción de Planta Depuradora de Líquidos Cloacales en la ciudad de Concepción - Provincia de Tucumán,Última actualización del ejercicio 2025: 26 Marzo 2025.
101705,Construccion de Galpon de Servicios Auxiliares en el Parque Nacional Los Cardones - Provincia de Salta,Última actualización del ejercicio 2025: 26 Marzo 2025.
101838,Construcción Polo Logístico Regional Norte -Pcia de Misiones,Última actualización del ejercicio 2025: 26 Marzo 2025.
101848,"Ampliación y optimización de la Planta de Tratamiento de Aguas Residuales en la ciudad de Salta, Provincia de Salta",Última actualización del ejercicio 2025: 26 Marzo 2025.
101918,"Construcción de tres plantas de transferencia y adquisición de equipamiento para rellenos sanitarios en Tupungato, Tunuyán y San Carlos, Provincia de Mendoza",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
101921,"Construcción Jardín N° 903 Indio Rico, Coronel Pringles, BUENOS AIRES - PRINI BID 4229 /OC-AR (D22)",Última actualización del ejercicio 2025: 26 Marzo 2025.
102043,Construcción Segundo Acueducto para el Interior de Chaco - Resistencia - Chaco,Última actualización del ejercicio 2025: 26 Marzo 2025.
